xy_p xy_n yz_p yz_n zx_p zx_n
0 409 23 1010 452 154 
0 689 173 296 817 73 
0 664 175 278 885 46 
0 613 185 331 913 6 
0 424 153 315 1105 51 
0 540 133 575 709 91 
0 541 91 627 760 29 
0 329 76 718 925 0 
0 569 63 778 468 170 
0 555 4 823 499 167 
0 374 16 976 573 109 
0 727 34 948 117 222 
0 649 1 1037 138 223 
0 322 67 1291 169 199 
0 579 77 834 369 189 
0 521 65 831 441 190 
0 397 28 974 492 157 
0 608 92 663 550 135 
0 574 89 671 572 142 
0 490 52 776 637 93 
0 567 166 490 741 84 
0 527 182 522 741 76 
0 450 143 578 836 41 
0 636 224 246 899 43 
0 532 207 310 997 2 
0 403 174 371 1070 30 
0 765 0 1080 32 171 
0 1115 104 5 781 43 
0 946 139 0 931 32 
0 783 140 36 1070 19 
0 520 38 439 1041 10 
0 1095 64 278 586 25 
0 991 79 305 649 24 
0 248 28 644 1109 19 
0 1151 0 463 434 0 
0 1066 0 509 473 0 
0 225 6 901 885 31 
0 1100 0 584 279 85 
0 981 0 666 294 107 
0 245 6 1122 628 47 
0 905 0 951 0 192 
0 772 0 1084 20 172 
0 382 4 1129 493 40 
0 1064 4 650 206 124 
0 1022 3 660 251 112 
0 756 4 773 489 26 
0 1125 17 442 439 25 
0 1062 17 479 485 5 
0 764 15 617 640 12 
0 1067 98 218 643 22 
0 1029 104 243 669 3 
0 744 31 474 794 5 
0 377 28 901 717 25 
0 1429 61 254 267 37 
0 1170 66 217 580 15 
0 1052 92 227 671 6 
0 815 77 331 825 0 
0 1077 45 405 511 10 
0 1080 8 430 530 0 
0 984 19 468 576 1 
0 1086 0 517 390 55 
0 1077 0 547 403 21 
0 971 0 597 441 39 
0 1152 8 639 162 87 
0 1020 1 741 187 99 
0 825 0 880 266 77 
0 1154 12 695 92 95 
0 1045 8 754 139 102 
0 964 3 816 158 107 
0 1081 20 507 357 83 
0 1028 30 543 375 72 
0 973 16 579 417 63 
0 1092 95 344 508 9 
1 1023 91 365 554 14 
0 961 80 399 606 2 
1 1192 103 74 669 9 
0 1048 110 107 782 1 
0 945 105 132 866 0 
1322 128 161 129 129 179 
0 636 741 5 3 663 
527 312 1027 15 122 45 
628 299 922 2 163 34 
789 301 734 6 164 54 
322 370 595 101 86 574 
346 378 575 95 96 558 
344 379 579 116 95 535 
343 319 596 86 79 625 
326 343 592 94 91 602 
343 362 568 103 92 580 
349 319 579 86 86 629 
353 330 573 89 99 604 
364 345 558 93 105 583 
549 297 52 81 14 1055 
701 288 0 116 3 940 
843 287 0 147 6 765 
450 17 764 12 0 805 
493 0 738 11 1 805 
575 0 640 12 2 819 
536 15 752 10 7 728 
568 0 722 12 10 736 
576 0 729 12 13 718 
451 18 817 0 12 750 
494 0 812 2 10 730 
555 0 784 2 14 693 
109 980 160 546 144 109 
65 1401 234 8 339 1 
68 1218 230 44 488 0 
79 1127 196 79 567 0 
79 907 233 233 596 0 
3 1525 3 191 326 0 
12 1423 58 227 328 0 
24 1237 48 342 394 3 
0 1500 29 295 222 2 
2 1482 0 319 245 0 
1 1334 17 365 321 10 
46 1327 105 412 91 67 
49 1296 26 501 138 38 
56 1007 90 532 267 96 
128 1065 186 487 29 153 
121 1076 143 500 59 149 
115 979 118 534 155 147 
154 1244 190 237 113 110 
135 1262 172 250 118 111 
140 1244 145 294 124 101 
147 1265 210 180 201 45 
154 1248 200 186 210 50 
160 1249 173 199 219 48 
116 1237 270 27 376 22 
129 1145 268 48 435 23 
117 1073 269 98 465 26 
62 973 105 639 93 176 
0 1281 176 56 515 20 
0 1213 135 79 616 5 
0 1215 22 104 707 0 
0 1114 72 94 761 7 
0 1287 73 292 342 54 
0 1314 34 316 360 24 
0 1268 3 352 425 0 
0 1267 47 388 251 95 
0 1287 16 437 267 41 
0 1212 0 501 321 14 
0 1149 1 718 17 163 
0 1090 0 800 28 130 
0 989 7 874 31 147 
91 1066 99 550 28 214 
128 988 135 557 20 220 
137 888 140 606 51 226 
69 1081 155 345 231 167 
83 1037 163 342 256 167 
111 964 143 405 270 155 
54 1120 180 189 383 122 
77 1047 176 215 403 130 
97 968 180 229 442 132 
50 983 232 2 757 24 
72 956 225 14 721 60 
76 865 193 38 782 94 
225 403 148 908 244 120 
128 1011 225 15 656 13 
41 902 181 8 916 0 
143 677 152 18 1058 0 
217 116 115 631 969 0 
0 897 0 452 699 0 
0 781 3 539 725 0 
115 88 6 779 1060 0 
0 896 0 582 570 0 
0 763 0 657 628 0 
132 60 0 944 912 0 
9 857 3 762 396 21 
62 691 19 835 424 17 
175 113 59 983 718 0 
226 737 173 711 63 138 
245 469 162 920 114 138 
197 252 78 825 621 75 
288 576 207 518 339 120 
264 503 194 583 380 124 
202 329 55 725 645 92 
282 573 237 408 436 112 
275 503 234 430 503 103 
251 309 116 649 682 41 
246 577 274 308 597 46 
229 551 266 285 682 35 
188 321 148 592 799 0 
0 550 42 968 428 60 
0 1665 127 90 130 36 
0 1162 183 48 642 13 
0 968 178 22 872 8 
0 648 203 76 1121 0 
0 1261 68 227 480 12 
0 1118 98 286 541 5 
0 990 100 321 637 0 
0 1228 0 434 346 40 
0 1190 0 454 404 0 
0 1115 0 501 432 0 
0 1252 1 493 212 90 
0 1103 0 571 238 136 
0 942 0 743 281 82 
0 1173 14 677 2 182 
0 965 10 890 5 178 
0 769 0 1050 35 194 
0 1169 18 517 196 148 
0 1056 17 581 252 142 
0 1012 10 614 282 130 
0 1173 132 323 392 28 
0 1109 127 371 423 18 
0 1073 62 410 479 24 
0 1177 165 136 567 3 
0 1052 157 164 674 1 
0 1024 143 195 684 2 
0 977 0 772 190 109 
0 1165 68 248 536 31 
0 1090 78 253 597 30 
0 963 78 293 708 6 
0 408 44 523 1057 16 
0 1128 0 392 528 0 
0 1040 13 450 539 6 
0 292 8 771 967 10 
0 1104 0 549 380 15 
0 1019 0 556 411 62 
0 300 5 1006 709 28 
0 1080 0 684 163 121 
0 878 0 839 240 91 
0 391 16 1090 487 64 
0 1063 7 726 139 113 
0 1004 2 751 175 116 
0 517 11 995 477 48 
0 1048 18 515 374 93 
0 1013 6 544 404 81 
0 637 22 732 616 41 
0 1041 107 341 552 7 
0 1005 95 388 559 1 
0 657 40 564 770 17 
0 1075 108 72 776 17 
0 995 112 98 843 0 
0 404 67 460 1103 14 
0 856 13 753 382 44 
0 1619 106 92 219 12 
0 1365 64 156 459 4 
0 1249 83 182 534 0 
0 1031 66 260 691 0 
0 1303 48 299 390 8 
0 1306 8 321 412 1 
0 1219 22 344 463 0 
0 1296 4 398 290 60 
0 1291 1 420 318 18 
0 1198 0 477 327 46 
0 1349 2 485 129 83 
0 1216 0 590 144 98 
0 967 0 815 183 83 
0 1296 11 550 83 108 
0 1216 0 605 121 106 
0 1187 7 634 123 97 
0 1268 18 392 289 81 
0 1241 17 410 299 81 
0 1192 18 433 330 75 
0 1261 93 270 410 14 
0 1219 82 296 437 14 
0 1190 78 323 448 9 
0 1319 107 63 551 8 
0 1238 100 76 634 0 
0 1183 96 97 666 6 
0 859 14 780 253 142 
0 1161 131 107 612 37 
0 1101 111 174 635 27 
0 1047 123 161 692 25 
0 819 131 194 878 26 
0 1084 34 413 492 25 
0 1021 59 439 515 14 
0 942 5 496 605 0 
0 1118 0 534 330 66 
0 1026 0 546 375 101 
0 949 1 642 417 39 
0 1101 0 700 101 146 
0 1015 0 793 95 145 
0 734 6 1058 84 166 
0 1152 0 589 155 152 
0 1043 2 690 170 143 
0 904 10 764 225 145 
0 1142 12 443 309 142 
0 1094 15 544 367 28 
0 955 15 590 456 32 
0 1114 123 319 458 34 
0 1066 113 350 497 22 
0 980 97 413 542 16 
0 1154 158 23 678 35 
0 1050 133 124 715 26 
0 886 145 172 829 16 
727 529 158 137 86 411 
32 1159 542 14 31 270 
313 1046 425 16 137 111 
447 1007 400 35 146 13 
499 863 473 53 141 19 
284 1211 228 77 106 142 
338 1274 176 67 117 76 
366 1274 171 74 114 49 
258 1279 158 95 87 171 
318 1311 112 106 82 119 
327 1287 93 104 118 119 
279 1176 159 79 73 282 
362 1186 69 106 60 265 
386 1152 62 111 61 276 
415 478 175 97 14 869 
519 460 14 117 5 933 
637 428 19 135 20 809 
433 376 471 24 8 736 
464 364 436 44 10 730 
512 332 411 40 10 743 
416 448 619 0 0 565 
467 403 602 0 0 576 
471 390 611 0 7 569 
440 385 806 10 75 332 
480 352 781 5 81 349 
551 376 740 9 70 302 
0 982 72 719 105 170 
0 1329 107 98 413 101 
0 1192 94 146 544 72 
0 1066 97 188 633 64 
0 722 88 274 844 120 
0 1262 48 280 433 25 
0 1206 39 321 462 20 
0 1017 21 407 603 0 
0 1245 32 409 312 50 
0 1192 28 429 342 57 
0 971 13 553 480 31 
0 1203 14 547 126 158 
0 1067 1 677 192 111 
0 715 47 902 197 187 
0 1113 26 639 70 200 
0 1054 36 676 87 195 
0 974 82 710 109 173 
0 1102 61 437 285 163 
0 1061 64 453 320 150 
0 1035 72 494 360 87 
0 1092 115 273 445 123 
0 1063 105 302 458 120 
0 1011 95 329 498 115 
0 1102 145 38 648 115 
0 1030 137 54 718 109 
0 880 125 85 815 143 
654 110 415 61 32 776 
2 1072 383 75 309 207 
17 1230 146 301 351 3 
30 1299 66 317 336 0 
78 1233 82 331 323 1 
29 1360 16 327 304 12 
32 1290 65 329 300 32 
56 1299 0 360 333 0 
29 1213 5 350 286 165 
39 1303 0 355 312 39 
68 1237 0 375 327 41 
261 817 5 339 27 599 
257 731 54 346 82 578 
382 698 81 281 67 539 
698 156 328 4 8 854 
683 75 427 22 8 833 
675 84 497 49 11 732 
608 47 577 21 23 772 
617 91 573 16 17 734 
739 0 614 14 16 665 
621 180 761 15 38 433 
653 66 773 13 33 510 
640 39 701 32 37 599 
358 594 756 0 275 65 
423 598 640 15 264 108 
415 592 578 85 248 130 
0 230 31 868 900 19 
0 1304 60 297 322 65 
0 1088 78 295 573 14 
0 1027 93 307 616 5 
0 827 107 369 744 1 
0 1063 44 436 496 9 
0 1071 0 468 509 0 
0 979 0 505 564 0 
0 1045 0 560 362 81 
0 1061 0 577 383 27 
0 933 0 615 420 80 
0 1109 13 710 85 131 
1 997 6 813 91 140 
1 708 0 1045 146 148 
1 1118 15 620 186 108 
1 990 12 720 218 107 
1 942 3 743 258 101 
0 1103 33 455 380 77 
0 1019 35 492 425 77 
0 962 17 543 469 57 
0 1109 114 278 543 4 
0 1009 104 328 602 5 
0 945 96 372 633 2 
0 1090 119 12 813 14 
1 1009 127 32 877 2 
1 805 139 40 1063 0 
0 1289 57 426 262 14 
0 1488 73 193 293 1 
0 1430 4 242 372 0 
0 1357 10 244 437 0 
0 966 51 415 616 0 
0 1424 0 322 302 0 
0 1380 0 340 328 0 
0 1169 0 433 446 0 
0 1425 0 343 274 6 
0 1379 0 364 305 0 
0 1077 0 555 395 21 
0 1326 91 545 42 44 
0 1006 3 825 46 168 
0 523 10 1166 165 184 
0 1363 80 368 237 0 
0 1325 53 406 238 26 
0 1211 10 467 305 55 
0 1373 78 300 297 0 
0 1328 79 330 311 0 
0 1261 33 383 371 0 
0 1352 84 279 331 2 
0 1333 75 280 356 4 
0 1246 59 332 411 0 
0 1321 111 45 571 0 
0 1258 95 63 632 0 
0 1095 84 163 706 0 
0 883 127 684 234 120 
0 1557 119 13 225 134 
0 1230 140 33 578 67 
0 1209 76 31 706 26 
0 950 148 27 801 122 
0 1426 59 228 335 0 
0 1425 0 254 369 0 
