Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.009047 0.387083 0.012655 0.093750
1 0.004414 0.752083 0.012881 0.128750
2 0.003054 0.824583 0.013428 0.151875
3 0.002431 0.855000 0.013958 0.153125
4 0.001953 0.874583 0.012510 0.395000
5 0.001935 0.879583 0.006010 0.611250
6 0.001704 0.884167 0.002592 0.843750
7 0.001476 0.903333 0.002460 0.838750
8 0.001555 0.903333 0.003356 0.756250
9 0.001381 0.905417 0.002583 0.833125
10 0.001264 0.915833 0.002578 0.830000
11 0.001185 0.917500 0.003254 0.766875
12 0.001504 0.897500 0.003406 0.766250
13 0.001483 0.907500 0.003917 0.760625
14 0.001293 0.909167 0.004318 0.722500
15 0.001089 0.923750 0.002812 0.807500
16 0.000980 0.937083 0.002246 0.860000
17 0.001108 0.928333 0.002564 0.845000
18 0.001250 0.912917 0.005371 0.678750
19 0.001146 0.921667 0.002802 0.783750
20 0.000865 0.939583 0.002091 0.873750
