Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.023521 0.765016 0.017890 0.825024
1 0.013527 0.861282 0.018463 0.830865
2 0.011404 0.880929 0.016113 0.855986
3 0.009861 0.895978 0.014687 0.875673
4 0.008891 0.905000 0.015336 0.870841
5 0.008378 0.910417 0.014831 0.878654
6 0.008159 0.911875 0.016069 0.870745
7 0.007405 0.919535 0.015495 0.866010
8 0.007068 0.923526 0.017391 0.866010
9 0.006824 0.924808 0.014474 0.882500
10 0.006560 0.927981 0.016585 0.869471
11 0.006288 0.931378 0.016020 0.873822
12 0.006026 0.932644 0.016183 0.875745
13 0.005870 0.934968 0.014964 0.885240
14 0.005734 0.935417 0.016587 0.874495
15 0.005477 0.938109 0.016933 0.875096
16 0.005444 0.938381 0.016000 0.880913
17 0.005140 0.942644 0.017233 0.876106
18 0.005035 0.943237 0.017147 0.872572
19 0.004959 0.943397 0.016279 0.883582
20 0.003981 0.953574 0.016547 0.887043
21 0.003899 0.953990 0.017359 0.884279
22 0.003720 0.956394 0.017037 0.882380
23 0.003661 0.956795 0.017900 0.884904
24 0.003617 0.957452 0.016947 0.886707
25 0.003467 0.958974 0.017706 0.885817
26 0.003423 0.959471 0.017872 0.886130
27 0.003418 0.959455 0.018180 0.885361
28 0.003288 0.961346 0.017931 0.881346
29 0.003264 0.960545 0.018243 0.881731
30 0.003299 0.960625 0.019257 0.884207
31 0.003193 0.962452 0.019462 0.880409
32 0.003204 0.961875 0.017515 0.884736
33 0.003199 0.962308 0.017541 0.889087
34 0.003207 0.962292 0.018248 0.888822
35 0.003136 0.963237 0.018597 0.885024
36 0.003036 0.963846 0.019897 0.878774
