Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.023726 0.770048 0.030800 0.735000
1 0.013630 0.862885 0.026846 0.747500
2 0.011224 0.886138 0.022910 0.782500
3 0.009933 0.896811 0.025852 0.756875
4 0.008924 0.907099 0.026767 0.764375
5 0.008421 0.909712 0.035257 0.741875
6 0.007753 0.916122 0.027798 0.761250
7 0.007394 0.920913 0.025344 0.787500
8 0.006949 0.924888 0.024921 0.793125
9 0.006639 0.927933 0.024351 0.805625
10 0.006343 0.930929 0.030611 0.741250
11 0.006221 0.930994 0.029105 0.771250
12 0.005954 0.933814 0.034006 0.741250
13 0.005647 0.936923 0.034432 0.758125
14 0.005535 0.937548 0.032005 0.766250
15 0.005396 0.940465 0.029512 0.807500
16 0.005199 0.941026 0.037338 0.743125
17 0.005044 0.943478 0.042426 0.745000
18 0.004887 0.944487 0.032749 0.786875
19 0.004846 0.945256 0.036945 0.773125
20 0.003953 0.954183 0.031280 0.800000
21 0.003669 0.956907 0.040285 0.783125
22 0.003596 0.958237 0.042088 0.788750
23 0.003545 0.958910 0.038484 0.778125
24 0.003424 0.959439 0.034380 0.810000
25 0.003324 0.961154 0.033308 0.816250
26 0.003358 0.960064 0.033569 0.818750
27 0.003335 0.960593 0.030420 0.830625
28 0.003309 0.961410 0.032566 0.821250
29 0.003193 0.962740 0.036216 0.810625
30 0.003184 0.963237 0.046383 0.759375
31 0.003106 0.964359 0.037517 0.800000
32 0.003095 0.963894 0.038895 0.790625
33 0.003015 0.964407 0.031102 0.823750
34 0.003008 0.965032 0.033048 0.832500
35 0.002895 0.966234 0.038754 0.813125
36 0.002934 0.965929 0.034690 0.830625
37 0.002862 0.966747 0.037697 0.814375
38 0.002893 0.966058 0.036374 0.808750
39 0.002870 0.966635 0.040536 0.806875
40 0.002435 0.971250 0.043234 0.804375
41 0.002335 0.972244 0.044232 0.793125
42 0.002270 0.972740 0.034020 0.828750
43 0.002259 0.972724 0.039455 0.810625
44 0.002236 0.973734 0.040582 0.815000
45 0.002243 0.973237 0.039441 0.813750
46 0.002205 0.973910 0.040470 0.827500
47 0.002175 0.974247 0.045761 0.796875
48 0.002125 0.974006 0.038798 0.824375
49 0.002180 0.974135 0.044978 0.797500
50 0.002089 0.974423 0.036931 0.832500
51 0.002158 0.974824 0.038292 0.818125
52 0.002101 0.974968 0.039025 0.827500
53 0.002072 0.975224 0.038918 0.821250
54 0.002098 0.974744 0.046492 0.807500
55 0.002024 0.975962 0.041103 0.813125
56 0.002080 0.975385 0.047028 0.811875
57 0.001982 0.975833 0.043022 0.815000
58 0.001962 0.976731 0.047236 0.818750
59 0.001971 0.976987 0.037878 0.829375
60 0.001819 0.978462 0.043938 0.805625
61 0.001856 0.977692 0.041715 0.820625
62 0.001728 0.978734 0.040036 0.827500
63 0.001689 0.980064 0.037361 0.835625
64 0.001677 0.980032 0.039782 0.832500
65 0.001713 0.979567 0.043977 0.810000
66 0.001630 0.980497 0.049372 0.800625
67 0.001652 0.980144 0.042989 0.818125
68 0.001670 0.980240 0.044905 0.811875
69 0.001644 0.980192 0.045398 0.810000
70 0.001616 0.980785 0.047333 0.815000
71 0.001641 0.980353 0.048781 0.805625
72 0.001615 0.980353 0.045980 0.810625
73 0.001579 0.980881 0.046531 0.805000
74 0.001622 0.981106 0.044091 0.819375
75 0.001622 0.980353 0.048132 0.806250
76 0.001574 0.980625 0.043656 0.825000
77 0.001525 0.981827 0.046049 0.816875
78 0.001592 0.980433 0.043729 0.824375
79 0.001568 0.980769 0.045992 0.808125
80 0.001480 0.981651 0.047440 0.807500
81 0.001462 0.982404 0.046119 0.817500
82 0.001434 0.982580 0.046546 0.818125
83 0.001422 0.983365 0.043880 0.821875
84 0.001456 0.982340 0.045898 0.810625
85 0.001454 0.982260 0.043424 0.823750
86 0.001385 0.983558 0.045708 0.814375
87 0.001344 0.983333 0.050564 0.797500
88 0.001359 0.983333 0.048352 0.809375
89 0.001415 0.983574 0.043931 0.824375
90 0.001372 0.983317 0.047732 0.808125
91 0.001420 0.982468 0.048326 0.809375
92 0.001341 0.983413 0.049054 0.817500
93 0.001373 0.983253 0.048907 0.819375
94 0.001384 0.983173 0.045405 0.821875
95 0.001368 0.983109 0.050567 0.811250
96 0.001372 0.983205 0.047731 0.818750
97 0.001353 0.983718 0.047817 0.815625
98 0.001346 0.983974 0.046485 0.820625
99 0.001378 0.983109 0.047541 0.823750
