Epoch Train_Loss Test_Loss
0 43.916443 57.188904
1 13.164660 17.537685
2 10.516027 28.494162
3 9.607915 10.741771
4 8.805731 10.130018
5 8.027901 7.362326
6 7.658884 7.521281
7 7.150414 7.590596
8 6.888904 6.529316
9 6.423571 8.164751
10 6.138408 5.365890
11 5.954355 5.182568
12 5.790396 5.352504
13 5.593963 4.916799
14 5.426310 4.832193
15 5.298335 4.819273
16 5.208465 4.859595
17 5.144618 4.715182
18 4.995577 4.767468
19 4.935868 4.687904
20 4.594299 4.461058
21 4.505935 4.372512
22 4.474011 4.362641
23 4.406945 4.197098
24 4.342531 4.220341
25 4.340866 4.208417
26 4.280539 4.188845
27 4.241968 4.182800
28 4.230176 4.174287
29 4.214041 4.167176
30 4.145375 4.162675
31 4.147367 4.240569
32 4.103281 4.164784
33 4.096937 4.104790
34 4.064384 4.108866
35 4.032079 4.049764
36 3.995703 4.126951
37 3.996194 4.134453
38 3.970687 4.046135
39 3.951478 4.043764
40 3.793347 3.942920
41 3.763841 3.963271
42 3.742150 3.964017
43 3.721877 3.981341
44 3.715068 4.023237
45 3.699415 3.904848
46 3.687264 3.950483
47 3.669565 3.985327
48 3.651105 3.980366
49 3.613688 3.955140
50 3.624587 3.917657
51 3.616949 3.890965
52 3.589476 3.916908
53 3.596611 3.873806
54 3.587310 3.930139
55 3.577248 3.913321
56 3.568349 3.893913
57 3.557419 3.882983
58 3.548243 3.901590
59 3.531771 3.923864
60 3.459204 3.833997
61 3.430032 3.889262
62 3.423620 3.818497
63 3.419123 3.842759
64 3.424954 3.800510
65 3.415259 3.820930
66 3.395610 3.848372
67 3.391134 3.826539
68 3.382915 3.856411
69 3.374085 3.856388
70 3.374982 3.869109
71 3.365787 3.786268
72 3.367089 3.870732
73 3.360287 3.818294
74 3.348564 3.780118
75 3.344723 3.804721
76 3.332508 3.843719
77 3.328110 3.858501
78 3.336042 3.868386
79 3.322847 3.811120
80 3.274710 3.807390
81 3.285238 3.817233
82 3.252419 3.787313
83 3.261328 3.810259
84 3.255772 3.814183
85 3.254517 3.848859
86 3.254315 3.864627
87 3.246336 3.818186
88 3.246956 3.818457
89 3.247853 3.812451
90 3.240086 3.820431
91 3.243170 3.804321
92 3.241310 3.800824
93 3.223794 3.844742
94 3.228769 3.810396
95 3.219137 3.798310
96 3.215056 3.794219
97 3.226731 3.810755
98 3.217461 3.824079
99 3.216935 3.808187
