Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.110599 0.460417 0.075125 0.690000
1 0.076209 0.634167 0.058842 0.767500
2 0.061565 0.707917 0.063758 0.693750
3 0.057829 0.727917 0.046419 0.797500
4 0.053163 0.750833 0.054469 0.720625
5 0.049484 0.767500 0.043532 0.813750
6 0.043398 0.805000 0.041014 0.837500
7 0.039861 0.816667 0.031872 0.863750
8 0.038054 0.826250 0.037002 0.810625
9 0.035175 0.831667 0.033358 0.847500
10 0.031954 0.851250 0.037807 0.838750
11 0.030823 0.846250 0.030370 0.861250
12 0.030045 0.846667 0.033123 0.843125
13 0.029902 0.841667 0.031710 0.871875
14 0.028479 0.863750 0.029553 0.861250
15 0.027437 0.869583 0.030025 0.867500
16 0.027456 0.872917 0.028400 0.870000
17 0.024717 0.875833 0.030279 0.861250
18 0.023477 0.884583 0.028844 0.869375
19 0.023731 0.886250 0.028884 0.869375
20 0.019716 0.899583 0.023321 0.895000
21 0.017722 0.909583 0.025354 0.887500
22 0.016295 0.915417 0.023430 0.891250
23 0.017193 0.916250 0.024355 0.885000
24 0.017163 0.911250 0.025904 0.879375
25 0.014941 0.923333 0.024938 0.884375
26 0.015785 0.918333 0.024543 0.886875
27 0.015279 0.928750 0.024962 0.899375
28 0.015508 0.925000 0.024901 0.890625
29 0.017639 0.906667 0.027506 0.885625
30 0.017474 0.911250 0.026081 0.884375
31 0.014299 0.931667 0.026607 0.879375
32 0.015740 0.918750 0.026128 0.893125
33 0.013557 0.929167 0.028322 0.878750
34 0.015187 0.918333 0.025637 0.885625
35 0.014194 0.928333 0.024399 0.900625
36 0.014145 0.930833 0.024662 0.893125
37 0.013659 0.933750 0.026908 0.878750
38 0.012205 0.938333 0.024413 0.897500
39 0.011503 0.938750 0.026274 0.890000
40 0.011068 0.945833 0.024061 0.903125
41 0.011040 0.942083 0.023530 0.900625
42 0.010283 0.944167 0.024828 0.896875
43 0.009098 0.952917 0.023840 0.904375
