Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.051880 0.522917 0.038240 0.634567
1 0.030431 0.728750 0.042261 0.607260
2 0.025646 0.771250 0.041875 0.637212
3 0.023260 0.794167 0.037021 0.677428
4 0.020918 0.815833 0.031440 0.733750
5 0.018830 0.827083 0.035630 0.695601
6 0.019205 0.828333 0.038099 0.675649
7 0.016661 0.841250 0.038763 0.663654
8 0.018417 0.830833 0.031267 0.724279
9 0.015734 0.862500 0.038660 0.682981
10 0.013792 0.879167 0.038188 0.696683
11 0.014362 0.864583 0.040095 0.678197
12 0.013111 0.879583 0.036866 0.660697
13 0.013374 0.876667 0.033509 0.704712
14 0.012017 0.892500 0.036611 0.679279
15 0.010983 0.895833 0.044529 0.639495
16 0.010908 0.897500 0.044232 0.652188
17 0.009823 0.907083 0.039168 0.666827
18 0.010596 0.898750 0.040736 0.634832
19 0.009466 0.913333 0.042782 0.647909
20 0.008392 0.917083 0.037882 0.700841
21 0.008001 0.925000 0.040023 0.679423
22 0.007236 0.936250 0.042039 0.677981
23 0.006759 0.934583 0.043736 0.669279
24 0.006851 0.938750 0.045652 0.670481
25 0.007049 0.934583 0.042480 0.676298
26 0.006055 0.937917 0.042521 0.683005
27 0.006146 0.940000 0.044632 0.678678
28 0.005885 0.941250 0.047375 0.674207
29 0.005806 0.940000 0.048374 0.665481
30 0.006639 0.935833 0.046368 0.659663
31 0.005436 0.949583 0.059223 0.632428
32 0.005333 0.947917 0.052299 0.648846
33 0.005799 0.940000 0.053785 0.625481
34 0.006175 0.937917 0.049514 0.669303
35 0.005314 0.946250 0.051520 0.658173
36 0.005724 0.946250 0.056603 0.633101
37 0.005479 0.948333 0.050341 0.661370
38 0.005477 0.945417 0.054500 0.635817
39 0.005324 0.950000 0.049258 0.676683
40 0.004453 0.957917 0.051994 0.654663
41 0.004074 0.958750 0.054017 0.665312
42 0.003730 0.961667 0.054375 0.657668
43 0.003567 0.964583 0.056592 0.658966
44 0.003155 0.969583 0.053666 0.666298
45 0.002949 0.970417 0.053928 0.671971
46 0.003607 0.964583 0.055812 0.659423
47 0.003312 0.970417 0.055742 0.650673
48 0.003025 0.969583 0.055413 0.655024
49 0.003211 0.965417 0.060014 0.646731
50 0.003314 0.966667 0.064517 0.634399
51 0.002995 0.972083 0.061792 0.650529
52 0.003896 0.957917 0.060073 0.654279
53 0.003794 0.962083 0.055389 0.657019
54 0.003634 0.961250 0.059880 0.642500
55 0.002948 0.968750 0.060734 0.645841
56 0.003028 0.969583 0.060318 0.648558
57 0.003205 0.967500 0.064276 0.642139
58 0.003247 0.968750 0.056700 0.649135
59 0.002858 0.971250 0.060846 0.650529
60 0.002694 0.970417 0.059318 0.647404
61 0.002397 0.978750 0.060937 0.658654
62 0.002167 0.977917 0.062742 0.649784
63 0.002290 0.980000 0.062134 0.653558
64 0.002173 0.979583 0.059310 0.659880
65 0.002249 0.977500 0.061694 0.653582
66 0.002495 0.977083 0.059603 0.665120
67 0.002173 0.978333 0.063076 0.650361
68 0.002302 0.975000 0.060775 0.656611
69 0.001979 0.979167 0.062059 0.647260
70 0.002377 0.978333 0.061170 0.655481
71 0.002048 0.977500 0.064931 0.648534
72 0.002000 0.977917 0.062898 0.654591
73 0.002175 0.980000 0.065330 0.639159
74 0.001886 0.977917 0.066683 0.643005
75 0.001899 0.977083 0.062888 0.648918
76 0.001501 0.983750 0.065055 0.652788
77 0.001954 0.982083 0.066528 0.653053
78 0.001934 0.982500 0.065392 0.661707
79 0.001827 0.983750 0.065120 0.651947
80 0.001530 0.983750 0.066943 0.652404
81 0.001563 0.985417 0.067645 0.652596
82 0.001403 0.985000 0.064963 0.658125
83 0.001668 0.981250 0.069782 0.643462
84 0.001498 0.986250 0.067227 0.649159
85 0.001562 0.986250 0.066197 0.663197
86 0.001447 0.986667 0.069930 0.647043
87 0.001417 0.985000 0.065152 0.673702
88 0.001104 0.990000 0.066646 0.658678
89 0.001208 0.987500 0.069309 0.659087
90 0.001324 0.988750 0.069262 0.655144
91 0.001159 0.987083 0.068120 0.661803
92 0.001389 0.987083 0.065912 0.664014
93 0.001205 0.989167 0.070125 0.661058
94 0.001325 0.986667 0.066829 0.661755
95 0.001443 0.986250 0.067883 0.654928
96 0.001262 0.987917 0.070206 0.655409
97 0.001113 0.989167 0.067974 0.657909
98 0.001009 0.989583 0.070199 0.658702
99 0.001122 0.990000 0.068152 0.655962
100 0.001255 0.985417 0.069406 0.658317
101 0.001021 0.989583 0.069804 0.657548
102 0.001099 0.989583 0.068497 0.660144
103 0.001068 0.988750 0.069819 0.658438
104 0.001088 0.988333 0.070272 0.653053
105 0.001095 0.988750 0.068589 0.661947
106 0.001335 0.987083 0.070612 0.657524
107 0.000880 0.992917 0.070884 0.649399
108 0.000989 0.989583 0.071921 0.653221
109 0.001148 0.988750 0.069598 0.659904
110 0.000889 0.993333 0.068967 0.660577
111 0.001066 0.992500 0.070357 0.658389
112 0.000887 0.990417 0.072307 0.651130
113 0.000876 0.992917 0.071206 0.656779
114 0.001056 0.989583 0.069163 0.662260
115 0.000926 0.991667 0.069964 0.657308
116 0.000858 0.993750 0.070024 0.660986
117 0.000934 0.990833 0.072653 0.652813
118 0.000884 0.992500 0.068388 0.663774
119 0.000892 0.990833 0.069369 0.656923
120 0.000700 0.994167 0.069924 0.656298
121 0.000690 0.994167 0.070248 0.657163
122 0.000858 0.994167 0.068344 0.658486
123 0.000833 0.992917 0.072519 0.653654
124 0.000902 0.989583 0.071269 0.654952
125 0.000836 0.994167 0.071700 0.656226
126 0.000932 0.991667 0.072617 0.651827
127 0.000713 0.995000 0.069752 0.658413
128 0.000672 0.994583 0.072025 0.655649
129 0.000753 0.994583 0.070294 0.655505
130 0.000962 0.992500 0.072700 0.656082
131 0.000706 0.993750 0.072320 0.652933
132 0.000693 0.993333 0.071598 0.654615
133 0.000997 0.990417 0.072443 0.655745
134 0.000734 0.994167 0.070723 0.657139
135 0.000721 0.994167 0.073471 0.654375
136 0.000646 0.995417 0.071900 0.653029
137 0.000793 0.992917 0.071461 0.658077
138 0.000718 0.995000 0.071915 0.656659
