Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.054434 0.479167 0.040469 0.655625
1 0.036486 0.640000 0.032156 0.709567
2 0.032679 0.681250 0.027543 0.741010
3 0.030661 0.706250 0.026800 0.757356
4 0.027936 0.717917 0.027889 0.725481
5 0.026827 0.731250 0.031078 0.730192
6 0.026601 0.724583 0.025971 0.757668
7 0.022482 0.771667 0.025164 0.764279
8 0.022675 0.762917 0.026445 0.746370
9 0.021496 0.792083 0.023338 0.776803
10 0.021235 0.786667 0.020582 0.809591
11 0.021077 0.806250 0.022550 0.791995
12 0.020573 0.806667 0.021943 0.794279
13 0.020063 0.797917 0.020622 0.806611
14 0.019640 0.795000 0.020564 0.801082
15 0.019096 0.804167 0.018510 0.823870
