Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.002216 0.832564 0.003729 0.766250
1 0.001097 0.913814 0.001988 0.863750
2 0.000910 0.924663 0.004222 0.738125
3 0.000781 0.935337 0.002558 0.826250
4 0.000698 0.941763 0.003642 0.791250
5 0.000639 0.945417 0.003006 0.840625
6 0.000572 0.952228 0.002447 0.865000
7 0.000556 0.951683 0.003370 0.805000
8 0.000526 0.954199 0.002702 0.856250
9 0.000490 0.957051 0.003491 0.794375
10 0.000466 0.959119 0.002880 0.830625
11 0.000463 0.958189 0.003259 0.831875
12 0.000421 0.962115 0.002803 0.873750
13 0.000403 0.964071 0.003172 0.839375
14 0.000369 0.967067 0.003202 0.818125
15 0.000379 0.965849 0.003123 0.837500
16 0.000371 0.966971 0.003080 0.838750
17 0.000346 0.968862 0.002809 0.853750
18 0.000350 0.968125 0.003275 0.853750
19 0.000320 0.970337 0.003083 0.823750
20 0.000219 0.979295 0.003216 0.857500
21 0.000201 0.980673 0.003398 0.847500
22 0.000202 0.980513 0.002919 0.873750
23 0.000196 0.980978 0.002958 0.861875
24 0.000200 0.981843 0.002994 0.868750
25 0.000193 0.981186 0.003073 0.857500
26 0.000183 0.982548 0.003538 0.857500
27 0.000180 0.982532 0.003965 0.845625
28 0.000191 0.981875 0.003773 0.854375
29 0.000175 0.983125 0.003391 0.858125
30 0.000178 0.982740 0.003167 0.861250
31 0.000179 0.983301 0.004215 0.836875
32 0.000158 0.984679 0.003136 0.871250
33 0.000164 0.984022 0.003155 0.882500
34 0.000176 0.983013 0.004704 0.818750
35 0.000151 0.985401 0.004518 0.818125
36 0.000161 0.984567 0.003022 0.875000
37 0.000156 0.985497 0.003544 0.853750
38 0.000148 0.986122 0.003974 0.840625
39 0.000152 0.985577 0.003562 0.861250
40 0.000102 0.990192 0.003651 0.855625
41 0.000099 0.990401 0.003650 0.867500
42 0.000094 0.990497 0.004096 0.848750
43 0.000091 0.990641 0.004290 0.842500
44 0.000091 0.990497 0.004186 0.842500
45 0.000094 0.990593 0.003953 0.855625
46 0.000090 0.990865 0.003847 0.862500
47 0.000089 0.991010 0.004055 0.857500
48 0.000086 0.991298 0.004485 0.840000
49 0.000085 0.991330 0.003916 0.859375
50 0.000083 0.991522 0.004018 0.858125
51 0.000089 0.991314 0.004337 0.858125
52 0.000087 0.990801 0.004022 0.864375
53 0.000087 0.991378 0.004243 0.855625
54 0.000083 0.991218 0.004386 0.846875
55 0.000080 0.992003 0.004685 0.858750
56 0.000081 0.991923 0.003972 0.873125
57 0.000083 0.991971 0.004082 0.851250
58 0.000075 0.992404 0.004635 0.850000
59 0.000084 0.991763 0.004765 0.845000
60 0.000064 0.993381 0.004252 0.862500
61 0.000055 0.994391 0.004192 0.862500
62 0.000055 0.994263 0.004385 0.861250
63 0.000053 0.994375 0.004401 0.857500
64 0.000055 0.994022 0.004292 0.863750
65 0.000050 0.994551 0.004740 0.852500
66 0.000054 0.994487 0.004660 0.853750
67 0.000050 0.994455 0.004597 0.859375
68 0.000052 0.994279 0.004692 0.858125
69 0.000058 0.994279 0.004738 0.853750
70 0.000055 0.994343 0.004227 0.867500
71 0.000051 0.994696 0.004250 0.862500
