Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.021135 0.799599 0.014362 0.865313
1 0.011314 0.886122 0.017128 0.848774
2 0.009296 0.904071 0.015811 0.863462
3 0.007937 0.916971 0.015359 0.869832
4 0.007010 0.925000 0.014680 0.874279
5 0.006285 0.932901 0.014765 0.877812
6 0.005809 0.937340 0.014555 0.881058
7 0.005273 0.942003 0.015224 0.885433
8 0.004948 0.945946 0.016878 0.872404
9 0.004600 0.949327 0.015361 0.883558
10 0.004379 0.951138 0.015718 0.886226
11 0.004173 0.952772 0.015389 0.886154
12 0.003953 0.954808 0.016559 0.884423
13 0.003720 0.957324 0.016096 0.880337
14 0.003638 0.958670 0.015357 0.890216
15 0.003418 0.960385 0.016638 0.882620
16 0.003356 0.961603 0.016911 0.885793
17 0.003187 0.962821 0.016419 0.884567
18 0.003033 0.963958 0.017153 0.887019
19 0.003364 0.961747 0.016566 0.886683
20 0.002161 0.974487 0.018665 0.889639
21 0.002095 0.975112 0.018582 0.888437
22 0.001963 0.976715 0.018287 0.899736
23 0.001920 0.976923 0.019201 0.889038
24 0.001826 0.978446 0.018928 0.892740
25 0.001760 0.978558 0.019580 0.894111
26 0.001779 0.978974 0.019484 0.891923
27 0.001686 0.979615 0.020730 0.889712
28 0.001685 0.979824 0.021004 0.878630
29 0.001645 0.980641 0.019009 0.892644
30 0.001656 0.980385 0.019785 0.889135
31 0.001544 0.980817 0.020055 0.891803
32 0.001571 0.981218 0.019208 0.888317
33 0.001537 0.981426 0.021025 0.888654
34 0.001497 0.981987 0.020845 0.884784
35 0.001519 0.981875 0.020335 0.892885
36 0.001482 0.982452 0.020731 0.892764
37 0.001466 0.982516 0.021057 0.884639
38 0.001465 0.982516 0.022077 0.886490
39 0.001342 0.983077 0.022799 0.891514
40 0.001066 0.986779 0.023484 0.889976
41 0.001011 0.986907 0.023351 0.891611
42 0.000946 0.987853 0.022838 0.894087
43 0.000991 0.987580 0.023719 0.890745
44 0.000939 0.988510 0.023564 0.889880
45 0.000902 0.988798 0.023439 0.894255
46 0.000921 0.988173 0.024426 0.891707
47 0.000891 0.989071 0.025357 0.886683
48 0.000882 0.988862 0.024106 0.890312
49 0.000875 0.989311 0.024217 0.889087
50 0.000871 0.988974 0.025100 0.888005
51 0.000876 0.989327 0.024566 0.892788
52 0.000898 0.989054 0.024091 0.887332
53 0.000862 0.989103 0.023636 0.892668
54 0.000843 0.989535 0.025332 0.891010
55 0.000836 0.989551 0.024490 0.889760
